type;summary
Truth;What actor/actress do you prefer?
Truth;Who is your secret crush?
Truth;What is the most disgusting thing you've ever done?
Truth;What is your biggest fear in a relationship?
Truth;What was your funniest first date ever?
Truth;What is your biggest turn off in a partner?
Truth;What is your weirdest habit?
Truth;How many kids would you like to have?
Truth;What is the perfect first day?
Truth;What is one embarrassing fact I should know about you?
Truth;What was your childhood nickname?
Truth;What is your favourite movie?
Truth;Describe your worst date ever?
Truth;"If there was no such thing as money; what would you do with your life?"
Truth;What is your favourite food?
Truth;"What are your three favourite colours; and why?"
Truth;What is your dream job?
Truth;"If you were trapped on an island for 3 days; what would you take with you?"
Truth;Who is your favourite person and why?
Truth;Do you prefer apple or android?
Truth;How do you put your toilet paper on the roll?
Truth;What is your best talent?
Truth;Do you believe in love at first sight?
Truth;What is your dream wedding?
Truth;Would you ever consider being a nudist?
Truth;How do you feel about end pieces of a loaf of bread?
Truth;Can you touch your tongue to your nose?
Truth;"If you could take away one bad thing in the world; what would it be?"
Truth;What is your guilty pleasure?
Truth;What is the most exotic food that you have ever eaten?
Truth;What country would like to live in if you had the chance?
Truth;"If you could change one thing on your body; what would it be?"
Truth;What do you daydream about the most?
Truth;Describe the weirdest dream you’ve ever had?
Truth;Can you lick your elbow?
Truth;What is your favourite season of the year?
Truth;Could you go a week without junk food?
Truth;How was your first kiss?
Truth;Describe your worst kiss ever?
Truth;Do you like to exercise?
Truth;How flexible are you?
Truth;What is your favourite color?
Truth;What is your favourite animal?
Truth;What is your favourite food?
Truth;What is your favourite school subject?
Truth;"Who is your favourite teacher; and why?"
Truth;What is your favourite song?
Truth;Who is your favourite Disney character?
Truth;What is your favourite TV show?
Truth;What is your pet’s name?
Truth;What is your shoe size?
Truth;What is your favourite movie?
Truth;Who is your favourite singer?
Truth;Do you like bugs?
Truth;What is your favourite vegetable?
Truth;15. Would you rather be a chicken or duck?
Truth;16. Would you rather be a pig or snake?
Truth;What is your favourite game to play?
Truth;Do you like doing chores?
Truth;What is your favourite thing to do on the weekends?
Truth;Do you know how to dance?
Truth;Do you know how to cook?
Truth;Can you speak a different language?
Truth;What is your favourite thing to do after school?
Truth;Are you in any sports?
Truth;What is your favourite sport?
Truth;What animal are you scared of?
Truth;Are you scared of monsters?
Truth;Do you have an imaginary friend?
Truth;Who is your best friend?
Truth;When did you learn how to ride a bike?
Truth;Can you use a pogo stick?
Truth;What do you want to be when you grow up?
Truth;What is your favourite sport in the Olympics?
Truth;What is the capital of the state that you live in?
Truth;"If you could go anywhere in the world; where would you go?"
Truth;"If you a million dollars; what would you do with all of your money?"
Truth;"If you could dye your hair any colour; what colour would you pick?"
Truth;How many brothers and sisters do you have?
Truth;"If you could be any animal; which one would you be?"
Truth;What is your favourite place to go out to eat?
Truth;How people have you slept with on campus?
Truth;What is your real GPA?
Truth;What is your least favourite frat on campus?
Truth;What did you do on your first night of freshman year?
Truth;Have you ever blacked out from drinking too much?
Truth;What is the craziest thing that you have ever done while drunk?
Truth;Who is the best roommate that you have ever had?
Truth;What is the most annoying thing that your roommate has ever done?
Truth;Did you smoke or drink before college? Or did you start when you got here?
Truth;Would you drop out of school if you were to win the lottery?
Truth;What is the best party that you’ve ever been to?
Truth;How many parties have you thrown at your house?
Truth;What is most amount of shots that you have taken in one night?
Truth;Have you ever thrown up in someone’s car?
Truth;Have you ever wet bed from being too drunk?
Truth;What is the longest you have gone without sleep?
Truth;How many times have you skipped class for no reason?
Truth;Have you ever gotten an STD?
Truth;Have you ever woken up to a stranger in your bed?
Truth;What is the earliest you have ever started drinking in the day?
Truth;Have you ever spent your parent’s money on alcohol?
Truth;How many freshmen have you slept with?
Truth;Have you ever taken money from a freshman?
Truth;Have you ever lied to your parents about if you were in classes or not?
Truth;Have you ever taken money from your roommate?
Truth;What is the most annoying thing your roommate does?
Truth;Have you been in any fights while in school?
Truth;Have you ever had someone write a paper for you?
Truth;What is the most annoying thing that your mom does?
Truth;What is the most annoying thing that your dad does?
Truth;Have you ever snuck anyone into to the house?
Truth;How many times have you snuck out of the house?
Truth;What is the best dish that you mom makes for dinner?
Truth;"If you could change any of the house rules; what would it be?"
Truth;Would you rather be a horse or a cow?
Truth;What is the funniest thing your grandparents have ever said?
Truth;"If you could get rid of one household chore; what would it be?"
Truth;What is your favourite cartoon from your generation?
Truth;What is your favourite childhood song?
Truth;What is your favourite board game to play with your family?
Truth;"If you could put one person in your family on mute for a day; who would it be?"
Truth;At what age did you learn to ride a bike?
Truth;Do you know how to swim?
Truth;Describe your dream home
Truth;What is the funniest dream that you have ever had?
Truth;Have you ever had a dream about one of your relatives?
Truth;Who is your celebrity husband or wife?
Truth;Who taught you how to tie your shoes?
Truth;What is the longest that you have ever been without taking a shower?
Truth;Have you ever worn the same clothes for more than three days?
Truth;What is your favourite holiday and why?
Truth;"If you could be any dinosaur; which would it be?"
Truth;How long could you without eating your favourite food?
Truth;Who in your family tells the corniest jokes?
Truth;Would you rather be a bumblebee or a slug?
Truth;Have you ever eaten a worm?
Truth;Have you ever picked your nose when you thought no one was looking?
Truth;"If you could be any super villain; who would you be?"
Truth;Who is your best looking teacher that you have ever had?
Truth;Have you ever cheated on any test?
Truth;Who is your crush at school?
Truth;Who is the most annoying person you know?
Truth;Have you ever pulled a prank on your teacher?
Truth;Have you ever lied to your parents about what you were doing after school?
Truth;Have you ever blamed something that you have done on one of your siblings?
Truth;What college do you plan on going to?
Truth;Are you still a virgin?
Truth;How many boyfriends (or girlfriends) have you had?
Truth;"Have you ever been kissed yet? If so; who was your best kiss?"
Truth;What is your biggest pet peeve?
Truth;What is the best vacation you’ve ever been on?
Truth;"Have you ever told one of your best friend’s secrets; even if you said you wouldn’t?"
Truth;Have you ever had a crush on someone that your best friend has dated?
Truth;What is the most annoying thing that one of your siblings has done?
Truth;"Do you have a job? If so; what is your favourite thing about it?"
Truth;"If you were a billionaire; what would you spend your time doing?"
Truth;What is the longest time you have ever been grounded?
Truth;What is the longest time that you think you could go withoutyour cell phone?
Truth;What is the most expensive thing you own?
Truth;"If you had the choice to live on your own right now; would you do it?"
Truth;Can you see yourself being married to the creepiest kid a your school someday?
Truth;Would you ever get on a dating website?
Truth;Have you ever watched an adult film without your parents knowing?
Truth;"If you could own your own business one day; what would it be?"
Truth;What is your favourite kind of clothing?
Truth;What celebrity are you obsessed with?
Truth;What is the funniest youtube video you have ever seen?
Truth;"Who is the worst teacher you have ever had; why?"
Truth;What is your favourite sports team?
Truth;What he craziest thing that you have ever done without yourparents knowing?
Truth;What would you do if your parents left the house to you fora whole week?
Truth;What is your favourite song that is out right now?
Truth;Could you go two months without talking to your friends?
